names,careerLength,w1,v1,x1,y1,z1,w2,v2,x2,y2,z2,w3,v3,x3,y3,z3,w4,v4,x4,y4,z4,w5,v5,x5,y5,z5,w6,v6,x6,y6,z6,w7,v7,x7,y7,z7,w8,v8,x8,y8,z8,w9,v9,x9,y9,z9,w10,v10,x10,y10,z10
1. Albert Pujols,15,2001,STL,0.329,6.271186441,0.220338983,1914,BOS,0.2,0,0.2,1986,PIT,0.223,3.87409201,0.11622276,1923,NYY,0.423,3.846153846,0.346153846,1897,LOU,0.35,0.843881857,0.164556962,1951,NYY,0.267,3.812316716,0.190615836,1905,DET,0.24,0.666666667,0.1,1939,BOS,0.327,5.486725664,0.256637168,1936,NYY,0.323,4.552590267,0.196232339,1951,NYG,0.274,4.310344828,0.146551724
2. Babe Ruth,22,2002,STL,0.314,5.762711864,0.215254237,1915,BOS,0.315,4.347826087,0.22826087,1987,PIT,0.261,4.537205082,0.10707804,1924,NYY,0.5,0,0.416666667,1898,LOU,0.306,1.700680272,0.178571429,1952,NYY,0.311,4.189435337,0.158469945,1906,DET,0.32,0.285714286,0.097142857,1940,BOS,0.344,4.099821747,0.201426025,1937,NYY,0.346,7.407407407,0.268921095,1952,NYG,0.236,3.149606299,0.181102362
3. Barry Bonds,22,2003,STL,0.359,7.275803723,0.209813875,1916,BOS,0.272,2.205882353,0.110294118,1988,PIT,0.283,4.460966543,0.107806691,1925,NYY,0.295,4.576659039,0.155606407,1899,LOU,0.345,1.22591944,0.197898424,1953,NYY,0.295,4.555314534,0.199566161,1907,DET,0.35,0.826446281,0.196694215,1941,BOS,0.406,8.114035088,0.263157895,1938,NYY,0.324,5.342237062,0.233722871,1954,NYG,0.345,7.256637168,0.194690265
4. Lou Gehrig,17,2004,STL,0.331,7.77027027,0.20777027,1917,BOS,0.325,1.62601626,0.097560976,1989,PIT,0.248,3.275862069,0.1,1926,NYY,0.313,2.797202797,0.195804196,1900,PIT,0.381,0.759013283,0.189753321,1954,NYY,0.3,4.972375691,0.187845304,1908,DET,0.324,0.688468158,0.185886403,1942,BOS,0.356,6.896551724,0.262452107,1939,NYY,0.381,6.493506494,0.272727273,1955,NYG,0.319,8.793103448,0.218965517
5. Honus Wagner,21,2005,STL,0.33,6.937394247,0.197969543,1918,BOS,0.3,3.470031546,0.208201893,1990,PIT,0.301,6.358381503,0.219653179,1927,NYY,0.373,8.047945205,0.299657534,1901,PIT,0.357,1.092896175,0.229508197,1955,NYY,0.306,7.156673114,0.191489362,1909,DET,0.377,1.570680628,0.186736475,1946,BOS,0.342,7.392996109,0.239299611,1940,NYY,0.352,6.102362205,0.261811024,1956,NYG,0.296,6.228373702,0.14532872
6. Mickey Mantle,18,2006,STL,0.331,9.158878505,0.256074766,1919,BOS,0.322,6.712962963,0.263888889,1991,PIT,0.292,4.901960784,0.22745098,1928,NYY,0.374,4.804270463,0.252669039,1902,PIT,0.331,0.561797753,0.170411985,1956,NYY,0.353,9.756097561,0.243902439,1910,DET,0.385,1.571709234,0.178781925,1947,BOS,0.343,6.060606061,0.215909091,1941,NYY,0.357,5.545286506,0.231053604,1957,NYG,0.333,5.982905983,0.165811966
7. Ty Cobb,24,2007,STL,0.327,5.663716814,0.182300885,1920,NYY,0.376,11.79039301,0.299126638,1992,PIT,0.311,7.188160677,0.217758985,1929,NYY,0.3,6.329113924,0.227848101,1903,PIT,0.355,0.9765625,0.197265625,1957,NYY,0.365,7.172995781,0.198312236,1911,DET,0.42,1.353637902,0.214890017,1948,BOS,0.369,4.911591356,0.249508841,1942,NYY,0.305,3.442622951,0.186885246,1958,SF,0.347,4.833333333,0.16
8. Ted Williams,19,2008,STL,0.357,7.061068702,0.221374046,1921,NYY,0.378,10.92592593,0.316666667,1993,SF,0.336,8.53432282,0.228200371,1930,NYY,0.379,7.056798623,0.299483649,1904,PIT,0.349,0.816326531,0.153061224,1958,NYY,0.304,8.092485549,0.186897881,1912,DET,0.41,1.265822785,0.150090416,1949,BOS,0.343,7.597173145,0.280918728,1946,NYY,0.29,4.970178926,0.188866799,1959,SF,0.313,5.913043478,0.180869565
9. Joe DiMaggio,13,2009,STL,0.327,8.274647887,0.237676056,1922,NYY,0.315,8.620689655,0.243842365,1994,SF,0.312,9.462915601,0.207161125,1931,NYY,0.341,7.431340872,0.297253635,1905,PIT,0.363,1.094890511,0.184306569,1959,NYY,0.285,5.73012939,0.138632163,1913,DET,0.39,0.934579439,0.156542056,1950,BOS,0.317,8.383233533,0.290419162,1947,NYY,0.315,3.745318352,0.18164794,1960,SF,0.319,4.87394958,0.173109244
10. Willie Mays,22,2010,STL,0.312,7.155025554,0.201022147,1923,NYY,0.393,7.85440613,0.250957854,1995,SF,0.294,6.52173913,0.205533597,1932,NYY,0.349,5.704697987,0.253355705,1906,PIT,0.339,0.387596899,0.137596899,1960,NYY,0.275,7.590132827,0.178368121,1914,DET,0.368,0.579710145,0.165217391,1951,BOS,0.318,5.649717514,0.237288136,1948,NYY,0.32,6.565656566,0.260942761,1961,SF,0.308,6.993006993,0.215034965
null,0,2011,STL,0.299,6.390328152,0.170984456,1924,NYY,0.378,8.695652174,0.228733459,1996,SF,0.308,8.123791103,0.249516441,1933,NYY,0.334,5.396290051,0.234401349,1907,PIT,0.35,1.165048544,0.159223301,1961,NYY,0.317,10.50583658,0.249027237,1915,DET,0.369,0.53285968,0.175843694,1952,BOS,0.4,10,0.3,1949,NYY,0.346,5.147058824,0.246323529,1962,SF,0.304,7.890499195,0.22705314
