names,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10
1. Walter Johnson,35.71428571,5.722070845,1.88,45.45454545,5.299492386,4.75,69.23076923,8.519909842,4.32,37.5,5.744680851,3.33,50,5,2.64,68.29268293,5.566757493,2.57,0,4.06626506,5.08,56.66666667,3.112990008,3.31,55.17241379,6.09561753,2.76,56.25,2.38451087,3.47
2. Lefty Grove,50,5.622803592,1.65,50,6.76744186,2.51,58.33333333,6.788990826,3.29,33.33333333,7.204176334,5.61,65.38461538,6.027149321,2.69,52.77777778,5.659464689,2.81,54.05405405,5.919642857,2.41,57.14285714,3.21,3.3,57.14285714,6.655844156,2.2,55.10204082,3.126181474,2.85
3. Roger Clemens,34.21052632,4.984802432,2.22,60.60606061,5.974818771,3.19,85.71428571,8.433070866,2.48,52,7.07721459,3.24,48,5.582386364,4.17,73.33333333,4.674942829,2.79,45.16129032,5.18102824,2.11,58.97435897,4.714285714,2.38,78.125,6.854632003,2.21,75,3.337748344,1.93
4. Bob Gibson,59.52380952,7.613513514,1.36,75,6.305513017,2.58,68.96551724,8.193456615,2.97,53.57142857,8.027444254,2.85,56.66666667,8.060695781,3.46,64.28571429,5.425352113,2.38,69.76744186,6.563780388,2.26,60.46511628,5.065807897,2.17,60,8.77670572,2.82,68,2.174324964,3.36
5. Don Drysdale,65.78947368,5.783918038,1.9,76.92307692,5.561613959,2.81,60,9.920454545,2.93,66.66666667,7.222659323,3.39,51.72413793,8.230483271,2.84,75.6097561,5.767083223,1.22,73.33333333,5.196078431,2.03,66.66666667,5.459272097,2.26,66.66666667,9.091226844,1.76,55.31914894,2.381185693,3.94
6. Pete Alexander,73.33333333,7.390243902,1.39,84.84848485,6.463917526,2.54,60.71428571,8.178585539,3.13,61.29032258,7.680250784,3.01,56.52173913,6.713114754,3.69,73.33333333,3.863753213,1.55,77.5,5.481963335,1.28,76,4.602272727,2.25,63.63636364,8.553435115,2.92,77.77777778,2.949620802,3.26
7. Christy Mathewson,83.72093023,6.320809249,1.14,88.57142857,5.464954892,2.06,77.77777778,8.246383165,1.93,62.5,8.127090301,3.07,73.52941176,6.64756447,2.83,69.76744186,4.639175258,1.83,64.70588235,4.327573253,2.97,60,4.798951049,2.2,65.51724138,7.789655172,2.08,65.11627907,3.042743299,3.24
8. Eddie Plank,60.86956522,5.455280172,1.72,71.42857143,5.81043956,2.84,64.28571429,8.000737735,2.62,63.63636364,7.229560871,2.44,52.77777778,7.16915265,2.63,66.66666667,5.192307692,1.73,66.66666667,5.085714286,2,46.66666667,4.975429975,2.17,50,7.665254237,3.2,52.5,2.362768496,3.78
9. Tom Seaver,67.5,5.434265318,1.55,75,3.72955289,3.2,62.06896552,7.60357433,2.41,65,7.555682467,2.98,52.94117647,6.642790408,2.18,59.25925926,4.634042553,1.72,77.08333333,5.973859559,1.43,65.51724138,4.481327801,1.76,70.96774194,7.807925741,2.38,65.78947368,2.409862142,2.53
10. Cy Young,55.55555556,5.557963164,1.9,50,3.5472044,6.5,44,7.531380753,4.46,70.96774194,7.928994083,1.12,65.71428571,6.134371957,2.77,65.85365854,4.28807491,1.91,80.64516129,4.874591058,1.14,61.53846154,4.426229508,2.01,56,7.804428044,2.59,61.9047619,2.706583582,2.58
null,58.97435897,5.190184049,2.21,62.5,3.989010989,2.7,56.25,8.883666275,2.85,60.60606061,7.710191083,2.18,44.82758621,5.830893119,3.42,53.57142857,2.75,3.43,75,5.205910091,1.89,74.19354839,5.234192037,2.1,77.77777778,6.756032172,2.58,50,3.223294924,3
null,63.88888889,4.472392638,1.27,58.62068966,4.622678783,2.81,66.66666667,8.485714286,4.18,76.66666667,8.387755102,3.12,44.82758621,6.255319149,2.74,55.17241379,1.76182708,3.63,66.66666667,4.133550489,1.99,81.25,3.819444444,2.22,53.33333333,7.847222222,2.88,76.74418605,3.831851253,1.62
null,58.82352941,4.560496381,1.49,65.38461538,5.255725191,3.02,43.47826087,9.549958712,3.63,55.17241379,6.790375204,3.04,53.84615385,5.836820084,2.15,64.70588235,2.124590164,3.19,65.71428571,3.890322581,2.12,64.28571429,5.611065235,2.6,72.72727273,5.48372093,3.14,74.41860465,3.748047892,2.15
null,44.44444444,4.902234637,3.13,77.77777778,5.459558824,3.08,75,9.954545455,2.05,63.33333333,6.73381295,2.46,55.55555556,3.47266881,4.45,70.58823529,1.756357185,3.03,69.44444444,2.735294118,2.06,68.18181818,5.348460292,2.87,55.55555556,5.410714286,3.64,75.67567568,4.642438453,2.08
null,54.83870968,4.875,3.51,78.94736842,3.816753927,2.54,76.92307692,10.41417592,2.65,54.54545455,6.553846154,2.77,null,null,null,57.69230769,2.402542373,3.39,64.86486486,2.307692308,3,51.61290323,3.367346939,2.33,87.5,4.714027694,2.54,61.9047619,4.736842105,1.97
null,48.38709677,3.375,2.99,53.84615385,3.644676682,3.99,58.33333333,7.836538462,4.6,45.83333333,4.8375,3.83,null,null,null,54.54545455,2.113943028,3.05,36.36363636,2.758064516,3.58,45.45454545,1.786259542,1.79,27.77777778,5.02250225,5.5,48.64864865,5.902560899,1.82
null,58.62068966,4.482758621,3.48,50,3.626865672,4.37,61.9047619,8.290053895,3.7,23.07692308,4.95412844,5.04,null,null,null,67.74193548,1.611940299,2.52,50,2.30458221,3.01,null,null,null,39.13043478,5.25974026,3.55,38.23529412,4.38718663,3.19
null,76.66666667,5.12987013,2.72,null,null,null,86.95652174,8.709677419,3.51,null,null,null,null,null,null,64,2.183388158,3.36,null,null,null,null,null,null,57.69230769,4.991532599,3.95,58.33333333,3.856018653,1.99
null,74.07407407,4.244541485,3.07,null,null,null,68.42105263,9.6,4.35,null,null,null,null,null,null,52.94117647,2.25,3.89,null,null,null,null,null,null,59.25925926,5.062972292,3.17,65.625,4.515050167,1.26
null,48.38709677,4.323597233,3.63,null,null,null,65.38461538,8.096590909,3.91,null,null,null,null,null,null,0,2.547169811,9.14,null,null,null,null,null,null,35,5.264054514,4.03,55.88235294,3.335600136,2.26
null,45.45454545,4.029850746,5.1,null,null,null,81.81818182,9.163942083,2.98,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41.17647059,3.200490497,2.53
null,null,null,null,null,null,null,61.9047619,7.887257224,1.87,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,43.75,3.925455987,3.78
null,null,null,null,null,null,null,53.84615385,8.116710875,2.3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,50,6.181818182,4.18,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
